BRCM
ADBE
ADI
ADP
ADSK
AKAM
ALTR
AMAT
ATVI
CA
CERN
CSCO
CTSH
CTXS
EA
EQIX
FFIV
FLIR
FTR
GOOGL
INTC
INTU
KLAC
LLTC
LRCX
MCHP
MSFT
MU
NTAP
NVDA
QCOM
SNDK
SWKS
SYMC
TXN
VRSN
WDC
XLNX
YHOO
